Document;TfIdfWords
00105;{'CYSTIC': 0.002803601651726029, 'FIBROSIS': 0.0027437518352023114, 'CONDITIONS': 0.056844309721943306, 'AGE': 0.04247986982710784, 'DIFFERENT': 0.05149719422660488, 'VARIES': 0.11299446567120414, 'DIFFICULT': 0.08737802302597143, 'SKIN': 0.16612912885815215, 'WOULD': 0.05788239832129292, 'PRIOR': 0.09349891818451998, 'EVEN': 0.06965655232522454, 'NOTE': 0.11687364773064995, 'DETECT': 0.08099281893128339, 'NEWBORN': 0.07428896687511541, 'ABNORMAL': 0.05400321626184708, 'WATER': 0.1509426082674568, 'SUGGEST': 0.05149719422660488, 'APPEARS': 0.07210483593766683, 'NORMALS': 0.16043807853614658, 'RELATED': 0.06102963513143382, 'RANGE': 0.06400329347984145, 'PREVIOUS': 0.06919897349073596, 'APPEAR': 0.15610690005487243, 'DAY': 0.0787511058321807, 'COLLEAGUES': 0.10009795921226124, 'WRINKLING': 0.43885865589100725, 'HANDS': 0.12162138286499485, 'MINUTES': 0.09349891818451998, 'ECONOMOU': 0.13636919521733412, 'MAVROU': 0.13636919521733412, 'MISUNDERSTOOD': 0.13636919521733412, 'CONCERNING': 0.09212575816031632, 'NORMALITY': 0.25548455604708675, 'CLIMATIC': 0.12774227802354338, 'AUKLAND': 0.13636919521733412, 'COOL': 0.13636919521733412, 'TAP': 0.11687364773064995, 'IMMERSION': 0.21942932794550363, 'RELIABLY': 0.1021258353783107, 'WASHING': 0.12162138286499485, 'SEA': 0.11687364773064995, 'ACCELERATES': 0.13636919521733412, 'WARM': 0.12162138286499485, 'WEATHER': 0.12774227802354338, 'NEEDS': 0.09824665331886487, 'REDEFINING': 0.13636919521733412, 'ATHENS': 0.13636919521733412}
00108;{'CYSTIC': 0.002196154627185389, 'FIBROSIS': 0.0021492722709084773, 'PATIENTS': 0.00886027322391774, 'SIGNIFICANTLY': 0.036014282219422405, 'NORMAL': 0.03874427010180725, 'VALUES': 0.03929278712352331, 'HETEROZYGOTES': 0.04145631398222316, 'CONTROLS': 0.035429426889234575, 'DAYS': 0.05819302405217374, 'OVERLAP': 0.07020212663130806, 'THREE': 0.036620409622270325, 'INCREASED': 0.0311898456486677, 'LYMPHOCYTES': 0.06930100627680347, 'CELLS': 0.03886357885514973, 'EXAMINED': 0.04375270902160737, 'COMBINATION': 0.06344437482950532, 'METHODS': 0.0535113176277337, 'MUCOPOLYSACCHARIDE': 0.08175457964064049, 'PARENTS': 0.047806547519623155, 'GREATER': 0.04492966847517326, 'EITHER': 0.04641685403730564, 'THUS': 0.048049860843309034, 'SHOWN': 0.04756673522875483, 'CARRIERS': 0.05420586256774317, 'PLASMA': 0.04356438310070848, 'VARIATIONS': 0.06844611803701095, 'STUDIES': 0.03712170054289162, 'CULTURE': 0.1002718264517516, 'MEDIUM': 0.05819302405217374, 'PURIFIED': 0.06168836623520822, 'SHOWED': 0.040185857892425084, 'DIFFERENTIATE': 0.07999857104634338, 'PARTIAL': 0.07216517722558112, 'PROCEDURE': 0.1154971065349421, 'POPULATION': 0.0501359132258758, 'FAMILIES': 0.11638604810434748, 'HOMOZYGOTES': 0.10568912410167743, 'CELLULAR': 0.06283824742665742, 'NINE': 0.06540742542377838, 'PREVIOUS': 0.05420586256774317, 'MEASUREMENTS': 0.059119188238087254, 'SIBLINGS': 0.06114186918815837, 'SEVEN': 0.05420586256774317, 'IDENTIFICATION': 0.07562583330521853, 'METACHROMASIA': 0.07020212663130806, 'HOPED': 0.0915510240556758, 'PERMIT': 0.08851233144244323, 'CULTURES': 0.05648212148450568, 'CILIARY': 0.0535113176277337, 'SYNTHESIS': 0.06009986323846948, 'UPTAKE': 0.21649553167674337, 'HEPARIN': 0.2452637389219215, 'SULPHONATE': 0.10682253625357839, 'SUPPLEMENTED': 0.09527008324424596, 'AUTOCHTHONOUS': 0.10682253625357839, 'FOURTEEN': 0.08851233144244323, 'TWENTY': 0.0769598784331108, 'DIFFERENTIATES': 0.10006478445177565, 'DYSKINESIS': 0.08851233144244323, 'UNEQUIVOCAL': 0.10006478445177565}
00109;{'CYSTIC': 0.005607203303452058, 'FIBROSIS': 0.005487503670404623, 'NORMAL': 0.024730385171366328, 'CHILDREN': 0.028520169638180257, 'SOMETIMES': 0.1021258353783107, 'SCREENING': 0.05954115452277615, 'TEST': 0.042739343722720986, 'EARLY': 0.05842107508691611, 'THREE': 0.04674945909225999, 'INFANTS': 0.05815003198526866, 'CONDITION': 0.06875102861418635, 'MIGHT': 0.061975417313791976, 'PATIENT': 0.04300202108064226, 'PHYSICAL': 0.07316888743925537, 'SKIN': 0.16612912885815215, 'POSSIBLE': 0.05189489918431025, 'RELIABLE': 0.08021903926807329, 'PROVIDE': 0.073721557362729, 'OBSERVED': 0.044937590829700266, 'SALT': 0.08099281893128339, 'SEEN': 0.06263013345563781, 'EXCESSIVE': 0.08737802302597143, 'WATER': 0.22641391240118522, 'DISORDER': 0.07159212207428256, 'EVENTUALLY': 0.1021258353783107, 'CONNECTED': 0.11687364773064995, 'APPARENT': 0.07487192377273487, 'DEGREE': 0.06788247553928729, 'FLUX': 0.10687357051265559, 'EXPOSURE': 0.09496685162041255, 'HIGHLY': 0.08737802302597143, 'NUTRITION': 0.1021258353783107, 'MINUTES': 0.09349891818451998, 'EXCEPT': 0.08737802302597143, 'REACTIVITY': 0.09083587258975388, 'TAP': 0.11687364773064995, 'SEA': 0.11687364773064995, 'WRINKLES': 0.25548455604708675, 'EXCESSIVELY': 0.12774227802354338, 'SOAKED': 0.13636919521733412, 'SIGN': 0.12162138286499485, 'IRRESPECTIVE': 0.12162138286499485, 'MARASMUS': 0.13636919521733412, 'DEAD': 0.10687357051265559, 'HYPERTONIC': 0.12774227802354338, 'BOWL': 0.13636919521733412, 'CHEAP': 0.11687364773064995}
00112;{'CYSTIC': 0.010980773135926946, 'FIBROSIS': 0.010746361354542386, 'CLINICAL': 0.029256530417619667, 'RESULTS': 0.029256530417619667, 'METHOD': 0.04129210904150629, 'POSSIBILITY': 0.05731562849408337, 'SCREENING': 0.13992171312852394, 'COULD': 0.03817191667337052, 'STUDY': 0.09303761703575032, 'CONCLUDED': 0.0606127242162487, 'SUITABLE': 0.06685761504027221, 'DIAGNOSIS': 0.03421072247541853, 'GROUPS': 0.03914848607780474, 'NEVER': 0.07324081924454065, 'OBTAINED': 0.039438348456335884, 'ALTHOUGH': 0.040185857892425084, 'PRENATAL': 0.06844611803701095, 'RELIABLE': 0.06283824742665742, 'TECHNIQUES': 0.059119188238087254, 'REGARDING': 0.07324081924454065, 'PATHOGENESIS': 0.055688320668018106, 'FAR': 0.07020212663130806, 'FEEL': 0.07216517722558112, 'RESPOND': 0.08594315344532226, 'CARRIERS': 0.05420586256774317, 'DETECTION': 0.05041603186448216, 'RELATED': 0.047806547519623155, 'CONCLUSION': 0.08175457964064049, 'PREPARATIONS': 0.06283824742665742, 'VALUABLE': 0.07562583330521853, 'HETEROZYGOTE': 0.05284456205083871, 'DIRECTLY': 0.07324081924454065, 'RESEARCH': 0.1106103240618796, 'ACCURATE': 0.07999857104634338, 'PROGRESS': 0.07999857104634338, 'RELIABILITY': 0.08371763023491355, 'CILIARY': 0.2140452705109348, 'NEVERTHELESS': 0.08851233144244323, 'MASSIVE': 0.15125166661043707, 'EXISTING': 0.08594315344532226, 'WISH': 0.07324081924454065, 'OFFER': 0.08175457964064049, 'LETTER': 0.08594315344532226, 'SANT': 0.09527008324424596, 'AGNESE': 0.09527008324424596, 'PROVIDED': 0.0676329486341871, 'RULED': 0.08851233144244323, 'WOODS': 0.10006478445177565, 'ASSAYS': 0.30250333322087414, 'INVESTIGATORS': 0.07562583330521853, 'CONCLUSIONS': 0.08851233144244323, 'INTENTION': 0.10682253625357839, 'UTILISE': 0.10682253625357839, 'SCIENTIFIC': 0.10006478445177565, 'PROMISING': 0.08851233144244323, 'PURIFY': 0.09527008324424596, 'CHARACTERISE': 0.10006478445177565, 'MOLECULE': 0.07999857104634338, 'MOLECULES': 0.07439070043598983, 'INDIRECTLY': 0.09527008324424596}
00113;{'CYSTIC': 0.004392309254370778, 'FIBROSIS': 0.004298544541816955, 'PATIENTS': 0.01772054644783548, 'CONTROL': 0.058832042535777694, 'NORMAL': 0.03874427010180725, 'CHILDREN': 0.044681599099815734, 'MALNUTRITION': 0.1368922360740219, 'REPORTS': 0.11463125698816674, 'NEONATAL': 0.14040425326261613, 'TEST': 0.06695830516559621, 'EARLY': 0.0915263509695019, 'ALSO': 0.06098332657369673, 'GROUP': 0.0657533546950525, 'HIGHER': 0.07801084736589643, 'SIMILAR': 0.07661594370137975, 'SEVERE': 0.0946606492911111, 'DESPITE': 0.12945411769688162, 'SHOWN': 0.09513347045750967, 'POPULATION': 0.1002718264517516, 'FREQUENCY': 0.10568912410167743, 'MAN': 0.14433035445116224, 'SCORES': 0.13223350466151662, 'ASSESSMENT': 0.13223350466151662, 'INTELLIGENCE': 0.21364507250715678, 'DRAW': 0.1831020481113516, 'SCHOOL': 0.16350915928128099, 'RESECTION': 0.1674352604698271, 'ILEUM': 0.17702466288488647, 'MENTAL': 0.1831020481113516, 'RETARDATION': 0.15682013609920928}
00115;{'CYSTIC': 0.0023958050478386063, 'FIBROSIS': 0.0023446606591728844, 'USING': 0.0436730725451315, 'NORMAL': 0.021133238237349406, 'CHILDREN': 0.02437178132717222, 'MEASURED': 0.04672545204766169, 'RECOVERY': 0.07872564788245212, 'FOUND': 0.027013241056510498, 'INDIVIDUALS': 0.10225599689550027, 'EARLY': 0.049923464165182854, 'STUDY': 0.03383186074027284, 'PERIPHERAL': 0.15120219551302574, 'SIGNIFICANT': 0.03326363267656185, 'DEPENDENT': 0.07061133692557178, 'IMPRESSION': 0.08250090906023841, 'WELL': 0.04286485868020724, 'ALTHOUGH': 0.04383911770082736, 'MAY': 0.02489378325230733, 'SKIN': 0.14196489193333, 'OBSERVED': 0.03840121398174386, 'DIFFERENCES': 0.08510274258097791, 'SEEN': 0.053520295862090485, 'HOWEVER': 0.041494868912174764, 'WATER': 0.06449365989609518, 'HELPFUL': 0.07762338203124422, 'LESIONS': 0.07378139851002229, 'FOLLOWING': 0.0603329040337525, 'FURTHERMORE': 0.07293558004393332, 'RELATED': 0.05215259729413435, 'APPARENT': 0.06398146213306434, 'RIGHT': 0.07061133692557178, 'USEFUL': 0.05837598286661858, 'RETURNS': 0.1091615830383007, 'PHENOMENON': 0.07378139851002229, 'LEFT': 0.07872564788245212, 'PROFESSOR': 0.08727116841419277, 'ELLIOTT': 0.08727116841419277, 'WRINKLING': 0.375024669579588, 'PRELIMINARY': 0.07989907553949889, 'FULLY': 0.0965589070281199, 'SIGN': 0.10393099990281378, 'INTERESTED': 0.0998738444243736, 'DESCRIPTION': 0.10393099990281378, 'OSMOTIC': 0.1091615830383007, 'FINGER': 0.0998738444243736, 'PULP': 0.1165336759129946, 'INTACT': 0.08395623101793906, 'NERVE': 0.1997476888487472, 'SUPPLY': 0.0998738444243736, 'HAND': 0.07658413814324516, 'HANDED': 0.1165336759129946, 'FINGERPRINT': 0.1165336759129946, 'DENSITIES': 0.1165336759129946, 'PHOTOMETRY': 0.1091615830383007, 'SIDES': 0.10393099990281378}
00116;{'CYSTIC': 0.005167422652200916, 'FIBROSIS': 0.0050571112256670055, 'RESULTS': 0.034419447550140786, 'ADULT': 0.062170073000986724, 'CHILDREN': 0.026283293588126904, 'CONDITIONS': 0.052385932488849714, 'MALNUTRITION': 0.08052484474942466, 'WIDE': 0.0777844145067745, 'SCREENING': 0.05487126005040155, 'HEALTHY': 0.0562429970819096, 'INDIVIDUALS': 0.05513803754169133, 'TEST': 0.039387238332703654, 'ALSO': 0.035872545043351016, 'MIGHT': 0.057114600269573004, 'SHOW': 0.059312978664096655, 'SKIN': 0.05103313108714478, 'DISEASES': 0.05103313108714478, 'RELIABLE': 0.07392734991371461, 'PROVIDE': 0.06793947443231889, 'SUGGESTED': 0.05834048962214818, 'OBSERVED': 0.04141307390188064, 'EVEN': 0.06419329331932458, 'INCLUDING': 0.06255835981071574, 'YOUNG': 0.06462425227459469, 'EXCESSIVE': 0.08052484474942466, 'WATER': 0.13910397232491117, 'RANDOMLY': 0.10413215463816851, 'MARKED': 0.07392734991371461, 'VARIETY': 0.06793947443231889, 'PROBABLY': 0.057413962468215916, 'RENAL': 0.07956817486374954, 'SELECTED': 0.08052484474942466, 'APPARENTLY': 0.08052484474942466, 'HEART': 0.07614948099816565, 'COLLEAGUES': 0.0922471388818878, 'PROFESSOR': 0.09411596593687456, 'ELLIOTT': 0.09411596593687456, 'WRINKLING': 0.20221918457722884, 'SOAKING': 0.11772327582561841, 'MINUTES': 0.08616566969945959, 'FINGERS': 0.10413215463816851, 'TAP': 0.21541417424864895, 'IMMERSION': 0.10110959228861442, 'WARM': 0.11208245087558348, 'CHEAP': 0.10770708712432447, 'NORMAN': 0.10770708712432447, 'EASY': 0.10413215463816851, 'TRUE': 0.08616566969945959, 'ENDOCRINE': 0.10770708712432447, 'COLLAGEN': 0.10770708712432447, 'ELICITED': 0.10770708712432447}
00119;{'CYSTIC': 0.0035613318278681994, 'FIBROSIS': 0.0034853063852569905, 'PATIENTS': 0.02873602126676024, 'NORMAL': 0.031414273055519394, 'CONTENT': 0.0841490624110912, 'INCREASED': 0.0505781280789206, 'SWEAT': 0.059184985676718836, 'CAPACITY': 0.17936809307331827, 'PROTEIN': 0.06395407857784198, 'BINDING': 0.19658180826891472, 'ESPECIALLY': 0.09364630259589901, 'POINT': 0.20576553998758484, 'REASON': 0.10967505183922234, 'SKIN': 0.07034296447146983, 'INCREASING': 0.08968404653665914, 'SALT': 0.10288276999379242, 'RATHER': 0.0929442624228379, 'DIFFERENCE': 0.06491943216168197, 'HOWEVER': 0.06168156189647601, 'WATER': 0.2876068616988029, 'INCREASES': 0.2019028932858473, 'MODERATE': 0.11238001017860023, 'RESPONSIBLE': 0.09436706603055202, 'MINIMAL': 0.09829090413445736, 'WRINKLING': 0.13936727585727934, 'IMMERSION': 0.13936727585727934, 'WARM': 0.15449202688256103, 'WRINKLES': 0.16226721802990646, 'ISOELECTRIC': 0.20992559626521343, 'KERATINS': 0.17322573446526227, 'MAKING': 0.1484611200902851, 'HORNY': 0.17322573446526227, 'LAYERS': 0.16226721802990646, 'DIVERGENCE': 0.16226721802990646, 'PALMAR': 0.1484611200902851, 'SOAPY': 0.17322573446526227, 'KERATIN': 0.16226721802990646}
00122;{'CYSTIC': 0.0034676125692400884, 'FIBROSIS': 0.00339358779617128, 'SERA': 0.14728601381949888, 'IGG': 0.04366197002442615, 'NORMAL': 0.06117516331864302, 'SUBJECTS': 0.02862165356075584, 'CONDITIONS': 0.035153717854359674, 'ASSOCIATED': 0.031135538255002013, 'METHOD': 0.03259903345382076, 'HETEROZYGOTES': 0.03272866893333407, 'TWO': 0.021957596739742225, 'HEALTHY': 0.03774201119970249, 'ALSO': 0.024072365752775025, 'EVIDENCE': 0.033956720772705375, 'ACID': 0.029611435419145155, 'BLOOD': 0.03312541943557996, 'PRODUCED': 0.04197995197824345, 'COMPLEMENT': 0.048269896727493454, 'COMPONENT': 0.05058424760201535, 'CELL': 0.03184694906118986, 'TRACHEAL': 0.0491474148130023, 'SUBSTANCE': 0.11564339880716945, 'FACTOR': 0.03367374438821901, 'TREATED': 0.03893900828135679, 'SPECIES': 0.057821699403584725, 'POSITIVE': 0.06791344154541075, 'LIKE': 0.08503416697017784, 'AMINO': 0.054711320744844846, 'DEFICIENCY': 0.0357956936986943, 'STATE': 0.08673254910537707, 'PREVIOUSLY': 0.040725870665028654, 'INHIBITOR': 0.04785215069703845, 'KNOWN': 0.11154604881941815, 'DEFECT': 0.034998001306372796, 'PURIFIED': 0.04870134176463807, 'SEPARATED': 0.05697250833598509, 'BEHAVIOR': 0.06075779876298222, 'ENZYME': 0.0345416123854795, 'BIOCHEMICAL': 0.04336627455268854, 'HOMOZYGOTES': 0.041719391092767406, 'CHOICE': 0.06784985798314914, 'PROPERTIES': 0.04630237391208603, 'RESPONSIBLE': 0.04594186109382137, 'NEGATIVE': 0.04197995197824345, 'PROPOSED': 0.048269896727493454, 'GENE': 0.03893900828135679, 'PRIMARY': 0.04121325581871745, 'FRESH': 0.06609286597493175, 'CULTURES': 0.044591148540399216, 'CILIARY': 0.042245777074526605, 'INSTANCES': 0.057821699403584725, 'INCUBATION': 0.11084546310206538, 'CARBOXYPEPTIDASE': 0.1982785979247952, 'PRESUMPTIVE': 0.06987815640192886, 'INDICATES': 0.05339443313225297, 'PATHOPHYSIOLOGIC': 0.06784985798314914, 'ANAPHYLATOXIN': 0.2168313727634427, 'PHYSIOLOGICAL': 0.0587295003442025, 'TOGETHER': 0.05219743605059867, 'BIOASSAY': 0.10942264148968969, 'COMPARE': 0.06075779876298222, 'FAVORABLY': 0.06987815640192886, 'MOLECULAR': 0.04630237391208603, 'INACTIVE': 0.0789985140408755, 'DYSKINESIA': 0.05697250833598509, 'CDF': 0.27951262560771545, 'CONVERTED': 0.07521322361387839, 'EPSILON': 0.0789985140408755, 'CAPROIC': 0.0789985140408755, 'EACA': 0.23699554212262652, 'INACTIVATOR': 0.1686671625056501, 'ACCUMULATING': 0.0789985140408755, 'ANAPHYLATOXINS': 0.08433358125282504, 'REVERSION': 0.08433358125282504, 'DEFECTIVE': 0.0527823276633728, 'DEFICIENTIN': 0.08433358125282504}
00125;{'CYSTIC': 0.007751133978301374, 'FIBROSIS': 0.007585666838500508, 'PATIENTS': 0.015635776277501894, 'USING': 0.0353238086762093, 'ONE': 0.023075145103634245, 'ACTIVE': 0.05057261337713239, 'TISSUE': 0.04662755475074004, 'NORMAL': 0.017093060339032608, 'DISEASE': 0.03395483431158832, 'ACTIVITY': 0.028664820018777497, 'NORMALLY': 0.06194305290997771, 'FOUND': 0.02184894497217761, 'SEEMS': 0.04913675353060421, 'SWEAT': 0.032203595147626426, 'CONCLUDED': 0.053481815484925324, 'ACID': 0.0992854011112514, 'CELLS': 0.03429139310748506, 'BINDING': 0.10696363096985065, 'MAY': 0.04026935526108539, 'OCCURRING': 0.06039363356206849, 'BETTER': 0.05711211074862424, 'REPORTED': 0.035458109905080956, 'FINDINGS': 0.036290740699191366, 'LEAST': 0.0463419946646062, 'GENETIC': 0.0381123507243794, 'PRESENT': 0.02883582057752925, 'THEREFORE': 0.04399449252354908, 'RATHER': 0.05057261337713239, 'DEFECT': 0.15646165289907837, 'SENSITIVE': 0.10114522675426478, 'DECREASE': 0.04691876985803681, 'HOWEVER': 0.06712405265204742, 'EXCHANGE': 0.06278361781938871, 'ENZYME': 0.03860533148965356, 'UNKNOWN': 0.0521639896218417, 'MEASURE': 0.06462425227459469, 'FINDING': 0.04879867238024099, 'SUGGEST': 0.03559364895074161, 'GLANDS': 0.04525217154469852, 'TECHNIQUE': 0.04352006807916347, 'RELEVANT': 0.07213639380056514, 'ATPASE': 0.20371732526411687, 'RESIDES': 0.0882924568692138, 'FUNCTIONS': 0.06790577508803895, 'TRANSPORT': 0.22368061361972277, 'MECHANISM': 0.05394870810719857, 'STEP': 0.15166438843292163, 'GLAND': 0.05394870810719857, 'FIBROBLASTS': 0.04019193387217099, 'ISOLATED': 0.04606187415033128, 'ORDER': 0.05492946361453198, 'EXOCRINE': 0.04399449252354908, 'UNDERSTANDING': 0.055445512435285955, 'ABNORMALITY': 0.0926839893292124, 'OBTAIN': 0.07809911597862638, 'WHETHER': 0.04721586849505915, 'ERYTHROCYTES': 0.13345735289156213, 'OUABAIN': 0.14117394890531185, 'ISOLATE': 0.08078031534324336, 'QUISSELL': 0.09425517904727505, 'PITOT': 0.09425517904727505, 'CONFINED': 0.07058697445265592, 'PASSIVE': 0.07213639380056514, 'CATION': 0.16812367631337524, 'ETHACRYNIC': 0.26487737060764144, 'EFFLUX': 0.07809911597862638, 'FUNDAMENTAL': 0.07213639380056514, 'LABELLED': 0.09425517904727505}
00126;{'CYSTIC': 0.0032535624106450212, 'FIBROSIS': 0.003184107068012559, 'SERUM': 0.0616451869204242, 'LEVELS': 0.10011484150818872, 'NORMAL': 0.028699459334672033, 'CHILDREN': 0.04964622122201748, 'CONDITIONS': 0.03298373527075722, 'VALUES': 0.029105768239646893, 'SODIUM': 0.036149531924432245, 'FOUND': 0.018342324174173797, 'RESULT': 0.0363409416347528, 'STUDY': 0.02297225111993835, 'ALSO': 0.045172834499034614, 'SWEAT': 0.02703511691405675, 'CONCENTRATION': 0.03120726391692921, 'ACID': 0.027783569035247306, 'PRODUCED': 0.03938859691785806, 'MIGHT': 0.03596104461417559, 'REFLECT': 0.04952415928909053, 'MAY': 0.06761274463589646, 'REPORTED': 0.05953460428507419, 'CONCOMITANT': 0.06366159514468314, 'ANOTHER': 0.045695086100154235, 'POSSIBLE': 0.030111855082254096, 'LIPID': 0.05510422254517765, 'AFFECTED': 0.0373452087885053, 'OBSERVED': 0.05214979676533118, 'DEFICIENCY': 0.10075824892965804, 'REDUCED': 0.11331289214592957, 'ABILITY': 0.04611362377516265, 'DATA': 0.030708380727572707, 'ESSENTIAL': 0.25666023674431576, 'LOWER': 0.030347017983126865, 'DEFECT': 0.06567526171072426, 'LESS': 0.029542829067435983, 'DATE': 0.06366159514468314, 'DECREASE': 0.03938859691785806, 'VARIOUS': 0.034548571142845416, 'REDUCTION': 0.04611362377516265, 'SOYBEAN': 0.05700731735785986, 'DIET': 0.044898314234258295, 'SUGGEST': 0.02988108800802999, 'MARKED': 0.04654684994567216, 'SUFFERING': 0.04654684994567216, 'NATURE': 0.045695086100154235, 'MEMBRANE': 0.03938859691785806, 'DEFECTS': 0.050098480469768225, 'VITAMIN': 0.17959325693703318, 'CAUSED': 0.04096678668958503, 'REQUIREMENT': 0.06366159514468314, 'APPARENT': 0.043444202682944924, 'STABILITY': 0.06366159514468314, 'LEAD': 0.050098480469768225, 'INJECTION': 0.05808153188859602, 'METABOLIC': 0.08308221574052543, 'ACIDS': 0.30654393901230426, 'APPROACH': 0.04611362377516265, 'POSSIBLY': 0.04897537209685801, 'CLASSES': 0.05270723471257324, 'PRODUCTION': 0.04414986211306775, 'ADMINISTRATION': 0.08250121580447127, 'PROMPTED': 0.06556468995736536, 'CORRECTED': 0.05808153188859602, 'FEEDING': 0.06781557337457467, 'ELLIOTT': 0.059258200775069166, 'STRUCTURE': 0.05200157528245042, 'ELUCIDATED': 0.07412206255687084, 'INTRAVENOUS': 0.09309369989134432, 'OIL': 0.05601913578164336, 'LECITHIN': 0.06556468995736536, 'TOWARDS': 0.05270723471257324, 'INVESTIGATE': 0.05700731735785986, 'FATTY': 0.290787755091839, 'SPECTRA': 0.07412206255687084, 'DEFICIENT': 0.05133407872355813, 'PARTIALLY': 0.054252458699659736, 'LIPIDS': 0.05510422254517765, 'CONTAINING': 0.04699583320704098, 'ABSORB': 0.07412206255687084, 'TURN': 0.07057043203277479, 'PROSTAGLANDINS': 0.07057043203277479}
00127;{'CYSTIC': 0.0032138848202713016, 'FIBROSIS': 0.003145276494012406, 'MEANS': 0.07881215475284777, 'CLINICAL': 0.0428144347574922, 'USING': 0.0585858290239569, 'CHILDREN': 0.03269385299986517, 'AGE': 0.04869643614326996, 'THREE': 0.10718168669932779, 'DISCUSSED': 0.0585858290239569, 'DEVELOPED': 0.07419649622507878, 'CHILD': 0.06858633938112824, 'FORM': 0.0809343834599119, 'DATA': 0.06066777655935097, 'PEDIATRIC': 0.09027565790518277, 'SOCIAL': 0.10886443966242415, 'ENABLED': 0.1295302411352828, 'PARENT': 0.22524842468227557, 'RESEARCH': 0.0809343834599119, 'TOOL': 0.1147464410482019, 'ASSESSMENT': 0.1935124458461219, 'SCHOOL': 0.11964084825459585, 'ADMINISTERED': 0.1789518122580245, 'ASSESS': 0.10273481946045084, 'PSYCHOSOCIAL': 0.2392816965091917, 'ADJUSTMENT': 0.2788392680319394, 'INSTRUMENTS': 0.2928725398588556, 'STANDARDIZED': 0.1225136052218247, 'OPEN': 0.13397710837415971, 'ENDED': 0.15632566281011473, 'INTERVIEW': 0.2928725398588556, 'SELF': 0.2928725398588556, 'TEACHER': 0.15632566281011473, 'QUESTIONNAIRE': 0.1464362699294278, 'DEMOGRAPHIC': 0.1464362699294278, 'NURSE': 0.12577046845656917, 'PRACTITIONER': 0.13397710837415971, 'MAKE': 0.1001650507858697, 'CHECKED': 0.15632566281011473, 'VALIDITY': 0.12577046845656917, 'WORKER': 0.1394196340159697, 'IMPLICATIONS': 0.10412892711508373}
00129;{'CYSTIC': 0.007320515423951297, 'FIBROSIS': 0.007164240903028258, 'CORRELATED': 0.18435054010313265, 'PANCREATIC': 0.11621467009324406, 'DISEASE': 0.06413690925522238, 'ACID': 0.12502606065861288, 'MALABSORPTION': 0.3712554711201207, 'MAY': 0.07606433771538351, 'CELIAC': 0.26666190348781127, 'DEFICIENCY': 0.15113737339448705, 'EXCRETION': 0.1910520949802779, 'SECONDARY': 0.17724868613036127, 'OCCUR': 0.19706396079362418, 'EXOCRINE': 0.16620141620007428, 'ACIDS': 0.19706396079362418, 'FECAL': 0.25208611101739514, 'OCCURS': 0.20946082475552472, 'BILE': 0.42296249886336884}
00130;{'CYSTIC': 0.013631304582530004, 'FIBROSIS': 0.013340310647018135, 'PATIENTS': 0.03666319954724582, 'NUMBER': 0.08936689135371721, 'TEN': 0.13532570777333458, 'STUDY': 0.06416387381775884, 'PER': 0.09253995682682935, 'TOTAL': 0.08681144403807162, 'CENT': 0.11947976538097459, 'MALES': 0.1539117940054962, 'FEMALES': 0.15646724132114181, 'FOLLOWED': 0.1325656144052816, 'NEW': 0.10736259686932324, 'REPORT': 0.10372947563974304, 'CASES': 0.167563484228465, 'BLACK': 0.3310285698469381, 'HIGH': 0.07842019374042578, 'LONG': 0.11602861163763036, 'HOSPITAL': 0.11442447316746164, 'YORK': 0.18312896160505496, 'POPULATION': 0.10372947563974304, 'DIVIDED': 0.14338139229683478, 'AREA': 0.1325656144052816, 'EQUALLY': 0.15646724132114181, 'DESCRIPTION': 0.19711051705706062, 'BROOKLYN': 0.2210121439729208, 'RESIDE': 0.20703058852091513, 'ISLAND': 0.2210121439729208, 'COLLEGE': 0.20703058852091513}
